Country,Product_name,Quantity_purchased,Crop_name,Feedback,Comments,Price,Total_price,Manufacturing,Transaction_date,Expiration,Review,TextBlob_Polarity,TextBlob_Subjectivity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Sentiment_Class
Nepal,Khari,71,['Cumin'],0,No Feedback,35,2485,2024-01-23,2024-03-24,2024-04-22,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Sri-Lanka,Maggi,89,['Wheat'],4,Good,30,2670,2020-06-22,2020-09-02,2020-09-20,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Bangladesh,Pasta,30,"['Wheat', 'Barley']",1,Very Poor,95,2850,2020-09-07,2020-10-13,2020-12-06,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Bangladesh,Pie,26,['Sugar'],0,No Feedback,30,780,2020-05-21,2020-06-10,2020-08-19,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Pie,54,['Sugar'],5,Excellent,45,2430,2021-08-17,2021-10-09,2021-11-15,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Pakistan,Maggi,36,['Wheat'],5,Excellent,15,540,2021-05-16,2021-06-24,2021-08-14,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Sri-Lanka,Banana Chips,38,['Banana'],3,Average,25,950,2020-12-29,2021-01-30,2021-03-29,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Pakistan,Banana Chips,84,['Banana'],3,Average,30,2520,2025-07-27,2025-08-28,2025-10-25,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
India,Nachos,65,['Maize'],5,Excellent,65,4225,2021-04-13,2021-05-19,2021-07-12,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Cookie,61,"['Barley', 'Sugar']",0,No Feedback,80,4880,2023-05-15,2023-08-05,2023-08-13,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Khari,60,['Cumin'],0,No Feedback,35,2100,2022-04-03,2022-05-14,2022-07-02,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Pakistan,Ketchup,71,['Tomato'],1,Very Poor,55,3905,2021-03-27,2021-06-03,2021-06-25,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Nepal,Ketchup,83,['Tomato'],0,No Feedback,55,4565,2023-08-04,2023-10-25,2023-11-02,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Biscuit,28,"['Wheat', 'Sugar', 'Barley']",5,Excellent,25,700,2021-08-26,2021-11-10,2021-11-24,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Nepal,Banana Chips,31,['Banana'],2,Poor,45,1395,2020-09-30,2020-11-28,2020-12-29,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Nachos,74,['Maize'],5,Excellent,35,2590,2021-06-01,2021-06-30,2021-08-30,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Pakistan,Banana Chips,81,['Banana'],3,Average,30,2430,2023-04-15,2023-07-06,2023-07-14,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Pakistan,Ketchup,86,['Tomato'],0,No Feedback,55,4730,2025-02-01,2025-03-08,2025-05-02,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Pakistan,Pie,12,['Sugar'],2,Poor,25,300,2025-04-28,2025-06-25,2025-07-27,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
India,Pasta,99,"['Wheat', 'Barley']",1,Very Poor,120,11880,2020-11-24,2020-12-22,2021-02-22,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Nepal,Maggi,63,['Wheat'],1,Very Poor,25,1575,2023-05-19,2023-06-07,2023-08-17,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Bangladesh,Pasta,62,"['Wheat', 'Barley']",0,No Feedback,95,5890,2023-12-23,2024-01-02,2024-03-22,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Pakistan,Khari,56,['Cumin'],1,Very Poor,25,1400,2023-07-28,2023-09-12,2023-10-26,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
India,Maggi,56,['Wheat'],1,Very Poor,25,1400,2021-08-07,2021-09-27,2021-11-05,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
